Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:15 AM BRT;{ };{ok};2527,88 kW-hr
01-Aug-19 10:00:16 AM BRT;{ };{ok};2528,55 kW-hr
01-Aug-19 10:15:15 AM BRT;{ };{ok};2529,19 kW-hr
01-Aug-19 10:30:15 AM BRT;{ };{ok};2529,80 kW-hr
01-Aug-19 10:45:15 AM BRT;{ };{ok};2530,41 kW-hr
01-Aug-19 11:00:15 AM BRT;{ };{ok};2531,02 kW-hr
01-Aug-19 11:15:15 AM BRT;{ };{ok};2531,64 kW-hr
01-Aug-19 11:30:15 AM BRT;{ };{ok};2532,25 kW-hr
01-Aug-19 11:45:16 AM BRT;{ };{ok};2532,88 kW-hr
01-Aug-19 12:00:15 PM BRT;{ };{ok};2533,49 kW-hr
01-Aug-19 12:15:15 PM BRT;{ };{ok};2534,11 kW-hr
01-Aug-19 12:30:01 PM BRT;{start};{ok};2534,73 kW-hr
01-Aug-19 12:45:17 PM BRT;{ };{ok};2535,34 kW-hr
01-Aug-19 1:00:19 PM BRT;{ };{ok};2535,95 kW-hr
01-Aug-19 1:15:17 PM BRT;{ };{ok};2536,55 kW-hr
01-Aug-19 1:30:16 PM BRT;{ };{ok};2537,16 kW-hr
01-Aug-19 1:45:17 PM BRT;{ };{ok};2537,78 kW-hr
01-Aug-19 2:00:17 PM BRT;{ };{ok};2538,39 kW-hr
01-Aug-19 2:15:17 PM BRT;{ };{ok};2538,99 kW-hr
01-Aug-19 2:30:18 PM BRT;{ };{ok};2539,55 kW-hr
01-Aug-19 2:45:17 PM BRT;{ };{ok};2540,11 kW-hr
01-Aug-19 3:00:17 PM BRT;{ };{ok};2540,67 kW-hr
01-Aug-19 3:15:18 PM BRT;{ };{ok};2541,24 kW-hr
01-Aug-19 3:30:17 PM BRT;{ };{ok};2541,79 kW-hr
01-Aug-19 3:45:18 PM BRT;{ };{ok};2542,36 kW-hr
