Timestamp;Trend Flags;Status;Value (kW-hr)
01-Aug-19 9:45:14 AM BRT;{ };{ok};3466,59 kW-hr
01-Aug-19 10:00:15 AM BRT;{ };{ok};3466,61 kW-hr
01-Aug-19 10:15:14 AM BRT;{ };{ok};3466,63 kW-hr
01-Aug-19 10:30:14 AM BRT;{ };{ok};3466,65 kW-hr
01-Aug-19 10:45:14 AM BRT;{ };{ok};3466,67 kW-hr
01-Aug-19 11:00:14 AM BRT;{ };{ok};3466,69 kW-hr
01-Aug-19 11:15:14 AM BRT;{ };{ok};3466,71 kW-hr
01-Aug-19 11:30:14 AM BRT;{ };{ok};3466,73 kW-hr
01-Aug-19 11:45:15 AM BRT;{ };{ok};3466,75 kW-hr
01-Aug-19 12:00:14 PM BRT;{ };{ok};3466,77 kW-hr
01-Aug-19 12:15:14 PM BRT;{ };{ok};3466,79 kW-hr
01-Aug-19 12:30:01 PM BRT;{start};{ok};3466,81 kW-hr
01-Aug-19 12:45:16 PM BRT;{ };{ok};3466,83 kW-hr
01-Aug-19 1:00:18 PM BRT;{ };{ok};3466,85 kW-hr
01-Aug-19 1:15:16 PM BRT;{ };{ok};3466,87 kW-hr
01-Aug-19 1:30:15 PM BRT;{ };{ok};3466,89 kW-hr
01-Aug-19 1:45:16 PM BRT;{ };{ok};3466,91 kW-hr
01-Aug-19 2:00:16 PM BRT;{ };{ok};3466,93 kW-hr
01-Aug-19 2:15:16 PM BRT;{ };{ok};3466,95 kW-hr
01-Aug-19 2:30:15 PM BRT;{ };{ok};3466,97 kW-hr
01-Aug-19 2:45:15 PM BRT;{ };{ok};3466,99 kW-hr
01-Aug-19 3:00:16 PM BRT;{ };{ok};3467,01 kW-hr
01-Aug-19 3:15:17 PM BRT;{ };{ok};3467,03 kW-hr
01-Aug-19 3:30:16 PM BRT;{ };{ok};3467,05 kW-hr
01-Aug-19 3:45:18 PM BRT;{ };{ok};3467,07 kW-hr
01-Aug-19 4:00:16 PM BRT;{ };{ok};3467,09 kW-hr
01-Aug-19 4:15:18 PM BRT;{ };{ok};3467,11 kW-hr
01-Aug-19 4:30:16 PM BRT;{ };{ok};3467,13 kW-hr
01-Aug-19 4:45:16 PM BRT;{ };{ok};3467,15 kW-hr
01-Aug-19 5:00:16 PM BRT;{ };{ok};3467,17 kW-hr
01-Aug-19 5:15:16 PM BRT;{ };{ok};3467,19 kW-hr
01-Aug-19 5:30:16 PM BRT;{ };{ok};3467,21 kW-hr
01-Aug-19 5:45:16 PM BRT;{ };{ok};3467,23 kW-hr
01-Aug-19 6:00:17 PM BRT;{ };{ok};3467,25 kW-hr
01-Aug-19 6:15:19 PM BRT;{ };{ok};3467,26 kW-hr
01-Aug-19 6:30:14 PM BRT;{ };{ok};3467,28 kW-hr
01-Aug-19 6:45:16 PM BRT;{ };{ok};3467,30 kW-hr
01-Aug-19 7:00:15 PM BRT;{ };{ok};3467,32 kW-hr
01-Aug-19 7:15:16 PM BRT;{ };{ok};3467,34 kW-hr
01-Aug-19 7:30:17 PM BRT;{ };{ok};3467,36 kW-hr
01-Aug-19 7:45:16 PM BRT;{ };{ok};3467,38 kW-hr
01-Aug-19 8:00:16 PM BRT;{ };{ok};3467,40 kW-hr
01-Aug-19 8:15:16 PM BRT;{ };{ok};3467,42 kW-hr
01-Aug-19 8:30:16 PM BRT;{ };{ok};3467,44 kW-hr
01-Aug-19 8:45:16 PM BRT;{ };{ok};3467,46 kW-hr
01-Aug-19 9:00:16 PM BRT;{ };{ok};3467,48 kW-hr
01-Aug-19 9:15:17 PM BRT;{ };{ok};3467,50 kW-hr
01-Aug-19 9:30:16 PM BRT;{ };{ok};3467,52 kW-hr
01-Aug-19 9:45:16 PM BRT;{ };{ok};3467,54 kW-hr
01-Aug-19 10:00:16 PM BRT;{ };{ok};3467,56 kW-hr
01-Aug-19 10:15:16 PM BRT;{ };{ok};3467,58 kW-hr
01-Aug-19 10:30:15 PM BRT;{ };{ok};3467,61 kW-hr
01-Aug-19 10:45:16 PM BRT;{ };{ok};3467,62 kW-hr
01-Aug-19 11:00:17 PM BRT;{ };{ok};3467,65 kW-hr
01-Aug-19 11:15:15 PM BRT;{ };{ok};3467,67 kW-hr
01-Aug-19 11:30:16 PM BRT;{ };{ok};3467,69 kW-hr
01-Aug-19 11:45:16 PM BRT;{ };{ok};3467,71 kW-hr
02-Aug-19 12:00:16 AM BRT;{ };{ok};3467,73 kW-hr
02-Aug-19 12:15:15 AM BRT;{ };{ok};3467,75 kW-hr
02-Aug-19 12:30:17 AM BRT;{ };{ok};3467,77 kW-hr
02-Aug-19 12:45:16 AM BRT;{ };{ok};3467,79 kW-hr
02-Aug-19 1:00:16 AM BRT;{ };{ok};3467,81 kW-hr
02-Aug-19 1:15:16 AM BRT;{ };{ok};3467,83 kW-hr
02-Aug-19 1:30:16 AM BRT;{ };{ok};3467,85 kW-hr
02-Aug-19 1:45:16 AM BRT;{ };{ok};3467,87 kW-hr
02-Aug-19 2:00:14 AM BRT;{ };{ok};3467,89 kW-hr
02-Aug-19 2:15:15 AM BRT;{ };{ok};3467,91 kW-hr
02-Aug-19 2:30:14 AM BRT;{ };{ok};3467,93 kW-hr
02-Aug-19 2:45:14 AM BRT;{ };{ok};3467,95 kW-hr
02-Aug-19 3:00:14 AM BRT;{ };{ok};3467,97 kW-hr
02-Aug-19 3:15:14 AM BRT;{ };{ok};3467,99 kW-hr
02-Aug-19 3:30:14 AM BRT;{ };{ok};3468,01 kW-hr
02-Aug-19 3:45:14 AM BRT;{ };{ok};3468,03 kW-hr
02-Aug-19 4:00:15 AM BRT;{ };{ok};3468,05 kW-hr
02-Aug-19 4:15:14 AM BRT;{ };{ok};3468,07 kW-hr
02-Aug-19 4:30:14 AM BRT;{ };{ok};3468,09 kW-hr
02-Aug-19 4:45:14 AM BRT;{ };{ok};3468,11 kW-hr
02-Aug-19 5:00:14 AM BRT;{ };{ok};3468,13 kW-hr
02-Aug-19 5:15:14 AM BRT;{ };{ok};3468,15 kW-hr
02-Aug-19 5:30:14 AM BRT;{ };{ok};3468,17 kW-hr
02-Aug-19 5:45:15 AM BRT;{ };{ok};3468,19 kW-hr
02-Aug-19 6:00:14 AM BRT;{ };{ok};3468,21 kW-hr
02-Aug-19 6:15:29 AM BRT;{ };{ok};3468,23 kW-hr
02-Aug-19 6:30:01 AM BRT;{start};{ok};3468,25 kW-hr
02-Aug-19 6:45:16 AM BRT;{ };{ok};3468,27 kW-hr
02-Aug-19 7:00:16 AM BRT;{ };{ok};3468,28 kW-hr
02-Aug-19 7:15:16 AM BRT;{ };{ok};3468,30 kW-hr
02-Aug-19 7:30:14 AM BRT;{ };{ok};3468,32 kW-hr
02-Aug-19 7:45:16 AM BRT;{ };{ok};3468,34 kW-hr
02-Aug-19 8:00:15 AM BRT;{ };{ok};3468,36 kW-hr
02-Aug-19 8:15:16 AM BRT;{ };{ok};3468,39 kW-hr
02-Aug-19 8:30:15 AM BRT;{ };{ok};3468,40 kW-hr
02-Aug-19 8:45:14 AM BRT;{ };{ok};3468,42 kW-hr
02-Aug-19 9:00:15 AM BRT;{ };{ok};3468,44 kW-hr
02-Aug-19 9:15:16 AM BRT;{ };{ok};3468,46 kW-hr
02-Aug-19 9:30:15 AM BRT;{ };{ok};3468,48 kW-hr
02-Aug-19 9:45:16 AM BRT;{ };{ok};3468,50 kW-hr
02-Aug-19 10:00:16 AM BRT;{ };{ok};3468,52 kW-hr
02-Aug-19 10:15:17 AM BRT;{ };{ok};3468,54 kW-hr
02-Aug-19 10:30:16 AM BRT;{ };{ok};3468,56 kW-hr
02-Aug-19 10:45:16 AM BRT;{ };{ok};3468,58 kW-hr
02-Aug-19 11:00:16 AM BRT;{ };{ok};3468,60 kW-hr
02-Aug-19 11:15:16 AM BRT;{ };{ok};3468,62 kW-hr
02-Aug-19 11:30:16 AM BRT;{ };{ok};3468,64 kW-hr
02-Aug-19 11:45:16 AM BRT;{ };{ok};3468,66 kW-hr
02-Aug-19 12:00:16 PM BRT;{ };{ok};3468,68 kW-hr
02-Aug-19 12:15:16 PM BRT;{ };{ok};3468,70 kW-hr
02-Aug-19 12:30:16 PM BRT;{ };{ok};3468,72 kW-hr
